,Key,Line
0,chapel,"jasmine and stars  islamic civilization & muslim networks carl w. ernst and bruce b. lawrence, editors  j  fat e m e h k es h ava rz  asmine and stars reading more than lolita in tehran  the university of north carolina press  keshavarz samp pp_v2.indd 3  chapel hill  8/30/06 11:02:11 am  ∫ 2007 the university of north carolina press all rights reserved designed by kimberly bryant set in galliard by keystone typesetting, inc."
1,county,my good friends minoo riahysharifan (orange county) and nargis virani (new school) also read the ﬁrst draft of the manuscript.
2,chapel,an initial phone conversation with carl ernst (university of north carolina at chapel hill) was seminal in the shaping of the work.
3,where,"the townspeople, who had never seen an elephant before, gathered outside the place where the animal was housed, curious as to what the beast was like."
4,question,"the challenge is to see each other’s humanity, and the question is: where are the candles?"
5,death,"1  introduction  in short, since 9/11, knowing about the muslim middle east is not a luxury, it is a matter of life and death."
6,authority,the old narrative was imbued with the authority of an allknowing foreign expert.
7,power,"they show awareness of the power of personal voice, nostalgia in exilic literature, the assurance that comes with insider knowledge, and the certainty of eyewitness accounts."
8,case,"for this purpose, i have selected a speciﬁc title from the above list as my case in point."
9,authority,"we take pride in resisting authority, in being self-critical and demanding."
10,wall,"for every newly erected wall, many barriers fall down."
11,freedom,"it may not be easy to see our full human potential for crossing borders, for living outside boxes, for embracing the freedom of dwelling on thresholds."
12,building,"i have a little gray cat, and if you are brave enough to build a bridge, my cat and i might walk over.’’ at times, it is hard to even contemplate the building of the bridge."
13,war,this is no ideological war for or against any.
14,power,we will object to the imposing vision of a revolution that stiﬂes the power to dream.
15,power,"as a teacher and scholar of literature, i feel we should take very seriously the distorting and silencing power that such texts exercise on our culture and society."
16,assault,"like a cat carrying its newborns to safety, i hold my students close as we hunt for balanced and engaging literature that might save their critical faculty from the numbing assault of the media, particularly when it comes to discussions of iran and islam."
17,question,"the feel-in-the-dark method of describing life in iran, evidenced in works such as rlt, further hampers the critical ability to question the narrow and slanted vision provided by the popular media."
18,where,the jasmine and stars in this book’s title are metaphors for what ﬁlled my childhood and youth—which were by no means trouble free—with culturally speciﬁc inspirations that have brought me to where i am.
19,where,"i grew up in the historic city of shiraz in southwest iran, where i went to school and university."
20,freedom,"gender equality, freedom of the press, freedom of the academic world, and the right of religious minorities to unrestricted practice of their faiths are among the most important."
21,imprisonment,"early in the book, one of the students shares the story of her imprisonment and ﬂogging with the reading group."
22,punishment,"‘‘in some perverse way,’’ the author suggests, the punishment was a ‘‘source of satisfaction’’ to the young woman (rlt, 73)."
23,punishment,"harsh as the punishment itself is, rlt ’s comment on the incident wounds as well by stereotyping muslim women as passive, even masochistic victims."
24,where,"where peaceful means have not failed, a revolution does not take place."
25,case,"what is happening in the non-western parts of the world, and in this case iran, is a result of decades, at times centuries, of unresolved issues."
26,term,these range from the outright colonization of territories and reckless pursuit of short-term economic 10  introduction  goals to cultural illiteracy and disrespect.
27,injustice,"the resulting injustice, poverty, and totalitarianism are now exploding in our faces."
28,where,"it continues with memories of later years in england, where i found and published a most exquisitely illustrated persian manuscript dated 1410."
29,death,"11  introduction  i then introduce you to a daring and imaginative poet of twentiethcentury iran, forough farrokhzad, discussing her poetry as well as the way my friends and i in high school reacted to her life and death."
30,where,"i have picked the stars from the midsummer nights in the shiraz of my childhood and youth, and the jasmine blossoms from grandma’s prayer rug where she kept them."
31,where,"12  1 the jasmine, the stars, & the grasshoppers  in shiraz of the 1960s, where i grew up, summer nights were a journey with a few clear stops."
32,where,"in his singing, there was a sense of peace with the night that made me grateful for being who i was and where i was."
33,wall,"she would walk around the yard, quietly water the plants, and pick little, white jasmine 14  the jasmine, the stars, & the grasshoppers  blossoms from the tree that had climbed one wall of the yard all the way to the top."
34,inside,my grandmother somehow associated these ﬂowers with prayer and collected fresh jasmine to keep inside her prayer rug until the next morning.
35,inside,"i would go inside, keep the windows closed, and be suspicious of every green spot that appeared to be moving."
36,where,"and glad to be heading home!’’ then i got to the cash register, where a bubbly young girl with an extraordinary pair of green earrings was the cashier."
37,power,"i am recounting the incident merely to explain what i mean by the power of the storyline in the background, the one that takes away our freedom to imagine each other."
38,taken,the slanted vision of books such as rlt is not to be taken lightly.
39,power,"the blurb promises the book to be an ‘‘exploration of the resilience’’ of these people ‘‘in the face of tyranny and a celebration of the liberating power of literature.’’ in fact, the book can be many things to many people."
40,where,"graham chapel, where the presentation was held, was ﬁlled with a large audience, many of them iranian americans."
41,power,"on the one hand, rlt critiqued totalitarianism and endorsed the transformative and liberating power of literature."
42,power,"now this book, which meant to celebrate the power of literature, denied and erased this most prevalent cultural behavior in the society i knew so well."
43,arrest,even the revolutionary guard who came to arrest a member of the armed opposition hid behind a woman servant in the author’s house for fear of being shot.
44,freedom,"with no reference to serious problems that plagued iran under the shah, the revolution itself appeared to have been motivated by a longing for fanaticism and a dislike for freedom and modernization."
45,where,"a  on the day rlt was to be introduced in our assembly series, i walked through the campus toward the chapel where i would make my introductory remarks."
46,chapel,the doors of the chapel were open and people were coming in.
47,chapel,the chapel was now full.
48,serving,"these latter sat at tasteful small tables with fragile candles on terraces overlooking the pool, serving homemade wine."
49,power,a  the author’s presentation that day was as much about the dark deeds of the iranian revolution as it was about the healing power of literature.
50,authority,what they had read as a personal memoir moved between the liberty of writing ﬁction and the authority of an all-knowing political observer.
51,jail,"it referred to the instruction on the wall of cincinnatus c’s jail: ‘‘a prisoner’s meekness is a prison’s pride.’’ although i am not particularly fond of nabokov, if i were to choose one of his works to talk about, it would most likely be invitation to a beheading rather than lolita."
52,inmates,"so i picked another quote from the same novel, rule number six for the prisoners: ‘‘it is desirable that the inmates should not have dreams at all.’’ and, thankfully, i could end with something good that rlt had brought to our attention: the uplifting and liberating power of literature."
