,Score Compound,Score Negative,Score Neutral,Score Positive,Sentence
0,0.0,0.0,1.0,0.0,jasmine and stars  islamic civilization  muslim networks carl w
1,0.0,0.0,1.0,0.0,ernst and bruce b
2,0.0,0.0,1.0,0.0,lawrence editors  j  fat e m e h k es h ava rz  asmine and stars reading more than lolita in tehran  the university of north carolina press  keshavarz samp pp_v2
3,0.0,0.0,1.0,0.0,indd 3  chapel hill  83006 110211 am   2007 the university of north carolina press all rights reserved designed by kimberly bryant set in galliard by keystone typesetting inc
4,0.7184,0.0,0.75,0.25,my good friends minoo riahysharifan orange county and nargis virani new school also read the ﬁrst draft of the manuscript
5,0.0,0.0,1.0,0.0,an initial phone conversation with carl ernst university of north carolina at chapel hill was seminal in the shaping of the work
6,0.5859,0.0,0.833,0.167,the townspeople who had never seen an elephant before gathered outside the place where the animal was housed curious as to what the beast was like
7,0.0772,0.0,0.92,0.08,the challenge is to see each others humanity and the question is where are the candles
8,-0.5859,0.144,0.815,0.041,1  introduction  in short since 911 knowing about the muslim middle east is not a luxury it is a matter of life and death
9,0.0772,0.0,0.902,0.098,the old narrative was imbued with the authority of an allknowing foreign expert
10,0.5267,0.0,0.845,0.155,they show awareness of the power of personal voice nostalgia in exilic literature the assurance that comes with insider knowledge and the certainty of eyewitness accounts
11,0.0,0.0,1.0,0.0,for this purpose i have selected a speciﬁc title from the above list as my case in point
12,0.2023,0.14,0.588,0.272,we take pride in resisting authority in being selfcritical and demanding
13,0.0,0.0,1.0,0.0,for every newly erected wall many barriers fall down
14,0.4393,0.078,0.749,0.173,it may not be easy to see our full human potential for crossing borders for living outside boxes for embracing the freedom of dwelling on thresholds
15,0.5267,0.0,0.866,0.134,i have a little gray cat and if you are brave enough to build a bridge my cat and i might walk over
16,-0.1027,0.097,0.903,0.0, at times it is hard to even contemplate the building of the bridge
17,0.2373,0.178,0.567,0.255,this is no ideological war for or against any
18,0.3818,0.076,0.707,0.217,we will object to the imposing vision of a revolution that stiﬂes the power to dream
19,-0.5936,0.19,0.81,0.0,as a teacher and scholar of literature i feel we should take very seriously the distorting and silencing power that such texts exercise on our culture and society
20,0.4019,0.146,0.66,0.194,like a cat carrying its newborns to safety i hold my students close as we hunt for balanced and engaging literature that might save their critical faculty from the numbing assault of the media particularly when it comes to discussions of iran and islam
21,0.5859,0.063,0.742,0.195,the feelinthedark method of describing life in iran evidenced in works such as rlt further hampers the critical ability to question the narrow and slanted vision provided by the popular media
22,0.4867,0.057,0.804,0.139,the jasmine and stars in this books title are metaphors for what ﬁlled my childhood and youthwhich were by no means trouble freewith culturally speciﬁc inspirations that have brought me to where i am
23,0.0,0.0,1.0,0.0,i grew up in the historic city of shiraz in southwest iran where i went to school and university
24,0.923,0.0,0.644,0.356,gender equality freedom of the press freedom of the academic world and the right of religious minorities to unrestricted practice of their faiths are among the most important
25,0.296,0.0,0.896,0.104,early in the book one of the students shares the story of her imprisonment and ﬂogging with the reading group
26,-0.7184,0.25,0.75,0.0,in some perverse way the author suggests the punishment was a source of satisfaction to the young woman rlt 73
27,-0.8271,0.346,0.537,0.116,harsh as the punishment itself is rlt s comment on the incident wounds as well by stereotyping muslim women as passive even masochistic victims
28,0.7097,0.0,0.629,0.371,where peaceful means have not failed a revolution does not take place
29,0.0,0.0,1.0,0.0,what is happening in the nonwestern parts of the world and in this case iran is a result of decades at times centuries of unresolved issues
